ID,선수명,연도,타수,안타,홈런,볼넷,삼진,타점,도루,타율,출루율,장타율,OPS,다음연도,다음OPS
546,전준우,2025,410,120,8,44,71,70,2,0.293,0.369,0.42,0.789,,
547,전민재,2021,4,1,0,0,2,1,0,0.25,0.2,0.25,0.45,2022.0,0.6
547,전민재,2022,45,13,0,0,12,0,3,0.289,0.289,0.311,0.6,2023.0,0.588
547,전민재,2023,17,4,0,0,3,1,0,0.235,0.235,0.353,0.588,2024.0,0.599
547,전민재,2024,248,61,2,17,53,32,7,0.246,0.301,0.298,0.599,2025.0,0.715
547,전민재,2025,331,95,5,22,63,34,3,0.287,0.337,0.378,0.715,,
548,전민수,2021,98,25,3,11,23,16,0,0.255,0.33,0.378,0.708,2022.0,0.618
548,전민수,2022,40,11,0,1,14,2,0,0.275,0.293,0.325,0.618,,
550,정범모,2021,19,4,1,2,4,5,0,0.211,0.318,0.421,0.739,2022.0,0.286
550,정범모,2022,7,1,0,0,1,1,0,0.143,0.143,0.143,0.286,,
551,정보근,2021,18,5,0,2,2,0,0,0.278,0.35,0.278,0.628,2022.0,0.466
551,정보근,2022,199,38,1,14,55,15,1,0.191,0.25,0.216,0.466,2023.0,0.902
551,정보근,2023,81,27,1,14,13,13,1,0.333,0.433,0.469,0.902,2024.0,0.529
551,정보근,2024,133,30,2,3,31,7,0,0.226,0.243,0.286,0.529,2025.0,0.547
551,정보근,2025,129,24,1,18,39,15,0,0.186,0.291,0.256,0.547,,
554,정은원,2021,495,140,6,105,105,39,19,0.283,0.407,0.384,0.791,2022.0,0.745
554,정은원,2022,508,139,8,85,109,49,10,0.274,0.377,0.368,0.745,2023.0,0.601
554,정은원,2023,388,86,2,62,73,30,6,0.222,0.333,0.268,0.601,2024.0,0.609
554,정은원,2024,64,11,1,13,16,6,2,0.172,0.312,0.297,0.609,,
564,정훈,2021,486,142,14,68,89,79,8,0.292,0.38,0.438,0.818,2022.0,0.62
564,정훈,2022,294,72,3,32,66,32,4,0.245,0.317,0.303,0.62,2023.0,0.796
564,정훈,2023,201,56,6,26,39,31,2,0.279,0.358,0.438,0.796,2024.0,0.775
564,정훈,2024,285,76,9,35,63,47,1,0.267,0.343,0.432,0.775,2025.0,0.576
564,정훈,2025,185,40,2,10,40,11,0,0.216,0.268,0.308,0.576,,
565,정현,2021,21,4,0,3,4,0,0,0.19,0.37,0.286,0.656,2021.0,
565,정현,2021,96,22,0,14,20,7,0,0.229,0.351,0.281,0.632,,
569,정진기,2021,7,0,0,0,2,0,0,0.0,0.0,0.0,0.0,2021.0,
569,정진기,2021,186,43,6,10,37,21,6,0.231,0.274,0.371,0.645,2022.0,0.554
569,정진기,2022,53,10,1,6,19,4,1,0.189,0.271,0.283,0.554,,
570,정진호,2021,145,33,0,15,22,15,4,0.228,0.301,0.29,0.591,,
573,정주현,2021,181,43,3,24,32,10,3,0.238,0.327,0.337,0.664,2023.0,
573,정주현,2023,88,24,1,9,16,12,1,0.273,0.337,0.33,0.667,,
574,정상호,2021,3,0,0,0,2,0,0,0.0,0.0,0.0,0.0,,
578,정수빈,2021,313,81,3,29,50,37,12,0.259,0.326,0.374,0.7,2022.0,0.654
578,정수빈,2022,405,105,3,39,56,41,15,0.259,0.323,0.331,0.654,2023.0,0.746
578,정수빈,2023,498,143,2,64,63,33,39,0.287,0.375,0.371,0.746,2024.0,0.737
